current_date.year,current_date.month,cycle,machine_time,runTime,meanHomefieldsSOCS,meanBushfieldsSOCS,meanRangelandSOCS,totalNFlows,totalCFlows,TT,CThroughflow
2028,1,125618,1688462453797.0,0.0,137.0564915293562,137.65800970890075,184.68853933357056,115879130.56714782,707965031.5929056,82085209.05774976,170350184.75475368
2028,2,127106,1688462459520.0,0.0,132.98791386168705,133.56950327244908,179.20344509429071,118763868.35132428,723275263.3940729,84179887.98437512,174651728.17066908
2028,3,128498,1688462465140.0,0.0,129.0399175644297,129.6024298675321,173.88128152955042,121651502.69192755,738613083.8274821,86276309.85998207,178968221.49932373
2028,4,129986,1688462471366.0,0.0,125.20915152031888,125.75319778120563,168.71732276508556,124542225.5135873,753980002.4860858,88374587.05679771,183300841.62792754
2028,5,131426,1688462477490.0,0.0,121.90214019106514,122.01828018491828,163.70656207683876,127451045.15112574,769386284.3319603,90486475.28975366,187656458.10359582
2028,6,132914,1688462483960.0,0.0,118.37846352559481,118.3942990359743,158.84463851895043,130364409.12369299,784820473.0525849,92601515.86531094,192027830.830329
2028,7,134354,1688462491216.0,0.0,114.91636859858956,115.36102009800106,159.64980672382302,133461664.82434641,800333860.1401368,94797381.63400516,196413352.13429067
2028,8,135842,1688462493914.0,0.0,111.50755634253989,111.97763895907127,155.39760407513455,136616457.90178922,816068933.283053,97050769.23147646,200804055.67999485
2028,9,137330,1688462496463.0,0.0,108.1957049620718,108.65220326443769,150.78605879665471,139828728.94339338,832021197.7304122,99361619.28563184,205197444.60408697
2028,10,138770,1688462498689.0,0.0,104.98218460539697,105.42513228277677,146.30759357309793,143098382.02110305,848188427.8122917,101729836.4007122,209591589.58474287
2028,11,140258,1688462501175.0,0.0,101.86410874264332,102.29390050500908,141.96211198845327,146448560.83406928,865061806.0950633,104177505.37677918,214468087.11420754
2028,12,141698,1688462503456.0,0.0,98.83970140282169,99.25566936671899,137.74569530230093,149801523.70543975,881951872.7462353,106626829.72677822,219352071.12815094
2029,1,143186,1688462508043.0,0.0,95.90664948184315,96.30770304439213,133.6548046474216,153157488.17723912,898869565.3778242,109078072.46451505,224253974.16748625
2029,2,144674,1688462513075.0,0.0,93.06062517172737,93.44730812207018,129.68543728612104,156516584.32971656,915815679.0457546,111531212.00862584,229173055.44176733
2029,3,146018,1688462517937.0,0.0,90.29873736684293,90.67187960347934,125.83402030924447,159878298.55422336,932786623.4849247,113986053.72316426,234107469.56382188
2029,4,147506,1688462523919.0,0.0,87.6189191420736,87.97890279351148,122.09716582246581,163242901.07793653,949784853.7873356,116442769.71023296,239058962.27582467
2029,5,148946,1688462529758.0,0.0,85.4272903420788,85.36590309520433,118.47118887386327,166625738.79991618,966821826.6676755,118913196.40196407,244035085.40648946
2029,6,150434,1688462535948.0,0.0,82.97628394474233,82.83050959345239,114.95291043094905,170013107.22004765,983885232.0497057,121386665.28284669,249027558.99664748
2029,7,151874,1688462543005.0,0.0,80.56645356526806,80.78307998048398,116.73569427498816,173581058.72398096,1001022970.3824431,123940974.73102947,254035424.5820168
2029,8,153362,1688462545958.0,0.0,78.178013286619,78.42046215500937,113.72918287546956,177209271.39427856,1018387718.8743874,126555529.79468317,259048698.9200435
2029,9,154850,1688462549005.0,0.0,75.85608382566254,76.0916883848833,110.355002595958,180897702.34886017,1035975914.6977229,129230287.61878884,264065582.53403828
2029,10,156290,1688462551675.0,0.0,73.60308256564991,73.8316993417615,107.07737855652853,184646233.88090318,1053784481.358142,131965131.04525587,269083217.108033
2029,11,157778,1688462554710.0,0.0,71.41699741265306,71.6388241211608,103.89707357516234,188477664.21606538,1072299406.3918364,134781799.40057206,274577932.5859901
2029,12,159218,1688462557012.0,0.0,69.29682537590595,69.51107940659097,100.81122659481949,192312068.48762432,1090828540.887408,137600110.81739235,280079628.20013726
2030,1,160706,1688462561776.0,0.0,67.24112346931697,67.44656435204878,97.81734615836791,196149665.31145528,1109383414.2383988,140420337.75627428,285599254.99455124
2030,2,162194,1688462566899.0,0.0,65.246417602585,65.44338276299769,94.91241114073812,199990573.36328644,1127965204.5836377,143242460.28448206,291136149.42723405
2030,3,163538,1688462571704.0,0.0,63.31062118100434,63.499694160449245,92.0938169878572,203834175.17981982,1146569934.3420448,146066276.2267148,296688280.218499
2030,4,165026,1688462577362.0,0.0,61.43234232622721,61.61375322944131,89.35908309445215,207680750.9138417,1165199873.9151282,148891958.56390825,302257247.30811715
2030,5,166466,1688462582918.0,0.0,60.017236980382876,59.783824426667216,86.70551349321121,211545594.34972724,1183866643.922231,151731241.97696617,307850396.84007275
2030,6,167954,1688462588938.0,0.0,58.33349857752287,58.008240338802686,84.13070727843379,215415257.7670228,1202557820.7180562,154573654.26884317,313459616.8237604
2030,7,169394,1688462595597.0,0.0,56.658613611232454,57.11383506208932,86.71709236729976,219464940.11272362,1221336403.2270377,157496883.105048,319083232.4587237
2030,8,170882,1688462598198.0,0.0,54.980438146800545,55.49106601855883,84.59224847477378,223578287.52654743,1240346238.7151542,160483761.46207985,324711963.90840846
2030,9,172370,1688462600685.0,0.0,53.34750128954999,53.843586609638095,82.08338256099796,227755245.51918423,1259582684.3206658,163534234.8888651,330343509.8536022
2030,10,173810,1688462602900.0,0.0,51.76302745083822,52.24438848896882,79.64545306648044,231995715.4427806,1279043515.6280088,166648205.27150995,335975806.7587959
2030,11,175298,1688462605334.0,0.0,50.22561377489764,50.692677988419604,77.27990369736041,236323177.50386128,1299234977.0687628,169848093.91736904,342105392.3358705
2030,12,176738,1688462607590.0,0.0,48.734522243133554,49.18705476014101,74.98461327950425,240653523.80550078,1319437275.9849906,173049584.73094055,348240209.8094878
2031,1,178226,1688462613392.0,0.0,47.28921503593889,47.726205895213155,72.75780291901,244986991.41586757,1339662977.6038997,176252966.59126323,354392074.16220266
2031,2,179714,1688462620213.0,0.0,45.88669302420206,46.30876794476923,70.59723833072275,249323738.36369112,1359913650.076777,179458210.20395294,360560206.02834237
2031,3,181058,1688462625832.0,0.0,44.52551228768393,44.93341554023722,68.50083673092276,253663213.29351348,1380184399.938932,182665112.85301775,366742086.0582729
2031,4,182546,1688462632276.0,0.0,43.204781389157645,43.59893635556395,66.46684627286834,258005707.18258503,1400477838.932365,185873850.98909032,372939569.2175869
2031,5,183986,1688462638804.0,0.0,42.33327134401671,42.30407728341731,64.49303647115471,262366241.64426827,1420804088.3546438,189096148.6538722,379159354.8650634
2031,6,185474,1688462645456.0,0.0,41.172779035481874,41.047678049101606,62.577869043661906,266731302.4062758,1441151411.0044491,192321561.62368047,385393835.8659542
2031,7,186914,1688462653517.0,0.0,40.00393112104944,40.30941150824612,65.91998088902464,271280290.6205863,1461570410.3878376,195627781.3660713,391641875.03733075
2031,8,188402,1688462656169.0,0.0,38.82010802860521,39.15493885287246,64.42308314743129,275897583.9996097,1482197665.5342603,199002290.72494993,397895108.9956354
2031,9,189890,1688462658917.0,0.0,37.667146669374006,37.992430397685595,62.51334404199554,280583140.2650042,1503029631.475837,202445047.45096073,404151791.1249926
2031,10,191330,1688462661219.0,0.0,36.5483950235015,36.864027356862316,60.6566649209626,285336846.1600906,1524063490.5082748,205955938.83130136,410409232.43677497
2031,11,192818,1688462663707.0,0.0,35.462871145127345,35.7691289817011,58.855101553827986,290181009.0947617,1545771201.610683,209556213.37695655,417129654.63685983
2031,12,194258,1688462665947.0,0.0,34.41052633964579,34.706750082626584,57.10704618447912,295028013.6257816,1567490060.0377774,213158125.65713635,423856827.7288106
2032,1,195746,1688462670751.0,0.0,33.391045946326535,33.675953846283186,55.41119778706748,299878092.05588794,1589231905.8738735,216761956.55099094,430601993.0277967
2032,2,197234,1688462676891.0,0.0,32.40174681562041,32.675791243301774,53.76575114173603,304731398.7156121,1610997819.8475385,220367682.81034568,437364305.0116151
2032,3,198626,1688462682331.0,0.0,31.44146078298785,31.705343076873433,52.16925564647278,309587501.54674697,1632784644.513623,223975161.87541083,444142257.18431115
2032,4,200114,1688462688966.0,0.0,30.50972659760856,30.763730837563774,50.620288743205094,314446588.7388249,1654594326.313056,227584509.98579112,450937102.6860446
